,color,id,male,species,name,breeds,mix,groups,FSS,Working Group,Terrier Group,Herding Group,Sporting Group,Hound Group,Non-Sporting Group,Toy Group,Bully Breed,Hound
36,Red/White,A477934,0.0,Dog,Suzie Q,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
37,Brown/White,A645345,0.0,Dog,Honey,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
38,Tan/Black,A664319,1.0,Dog,Boris,"['Jack Russell Terrier', 'Chihuahua Shorthair']",True,"['Terrier Group', 'Toy Group']",0,0,1,0,0,0,0,1,0,0
39,Tan/Cream,A664321,0.0,Dog,None,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
40,Red/White,A656387,1.0,Dog,Ned,"['Labrador Retriever', 'Chow Chow']",True,"['Non-Sporting Group', 'Sporting Group']",0,0,0,0,1,0,1,0,0,0
41,Tan/White,A664326,1.0,Dog,Wilbur,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
42,Black/Tan,A609552,0.0,Dog,Zuzu,"['Doberman Pinsch', 'Pit Bull']",True,"['Bully Breed', 'Working Group']",0,1,0,0,0,0,0,0,1,0
43,White/Tan,A664341,0.0,Dog,Zooe,['Jack Russell Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
44,White/Black,A664342,0.0,Dog,Miso,['Japanese Chin'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
45,Brown Brindle/White,A664349,0.0,Dog,Elvira,['Staffordshire'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
46,White,A594707,0.0,Dog,Frisco,"['German Shepherd', 'Labrador Retriever']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
47,Tan/Brown,A664350,1.0,Dog,Elvis,['Welsh Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
48,Sable/White,A664352,1.0,Dog,Romeo,"['Shetland Sheepdog', 'Italian Greyhound']",True,"['Herding Group', 'Toy Group']",0,0,0,1,0,0,0,1,0,0
49,Red/White,A664354,1.0,Dog,Tazz,['Vizsla'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
50,White,A664353,1.0,Dog,Ziggy,"['German Shepherd', 'Alaskan Husky']",True,"['Herding Group', 'Working Group']",0,1,0,1,0,0,0,0,0,0
51,Black,A664355,0.0,Dog,Jewels,['Miniature Poodle'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
52,Blue/White,A664356,1.0,Dog,Azul,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
53,White,A663673,1.0,Dog,Frosty,['Great Pyrenees'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
54,White/Tricolor,A664359,0.0,Dog,Lula Belle,"['Australian Cattle Dog', 'Border Collie']",True,['Herding Group'],0,0,0,1,0,0,0,0,0,0
55,Tan/Black,A664361,0.0,Dog,Deeohhgee,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
56,Black/Brown,A664362,1.0,Dog,Cowboy,['Rottweiler'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
57,White,A664363,0.0,Dog,None,"['Labrador Retriever', 'German Shepherd']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
58,Fawn,A656761,1.0,Dog,Gotti,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
59,Brown/Black,A664368,1.0,Dog,Zeus,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
60,Black,A664375,1.0,Dog,Chevy,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
61,Blue/White,A664377,0.0,Dog,Aries,['American Staffordshire Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
62,Tan,A653703,1.0,Dog,Poodle,['Miniature Poodle'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
63,Brown/White,A663177,1.0,Dog,None,['American Bulldog'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
64,Brown,A664378,1.0,Dog,Raisin,['Chinese Sharpei'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
65,Brown/White,A664379,0.0,Dog,Miley,['Border Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
66,Chocolate,A664382,0.0,Dog,Chewey,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
67,Black/White,A657832,0.0,Dog,Serenity,"['Great Dane', 'Labrador Retriever']",True,"['Sporting Group', 'Working Group']",0,1,0,0,1,0,0,0,0,0
68,White/Brown,A664391,1.0,Dog,Walter,['Harrier'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
69,Black,A651982,0.0,Dog,Amie,['Flat Coat Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
70,Brown,A664421,0.0,Dog,Daisy,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
71,White/Tan,A664425,1.0,Dog,Simba,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
72,Tan,A664426,1.0,Dog,Canelo,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
73,Red/White,A664424,1.0,Dog,Spot,"['Chihuahua Shorthair', 'Mexican Hairless']",True,"['Non-Sporting Group', 'Toy Group']",0,0,0,0,1,0,1,1,0,0
74,White,A664432,1.0,Dog,None,['Miniature Poodle'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
75,Tan/White,A664434,0.0,Dog,Missy,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
76,White/Black,A664439,1.0,Dog,Batty,"['Dachshund', 'Rat Terrier']",True,"['Hound Group', 'Terrier Group']",0,0,1,0,0,1,0,0,0,1
77,Blue Merle/Brown,A627854,1.0,Dog,Brownie,['Dachshund'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
78,Tan,A664449,0.0,Dog,Roxie,['Yorkshire Terrier'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
79,Tan,A664450,0.0,Dog,Miley,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
80,Black/White,A648134,0.0,Dog,Baby,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
81,Yellow,A625774,1.0,Dog,Jumper,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
82,White/Brown Brindle,A664454,0.0,Dog,None,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
83,White/Brown Brindle,A664455,1.0,Dog,Diesle,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
84,White/Brown,A664456,0.0,Dog,Poe,"['Pit Bull', 'Anatol Shepherd']",True,"['Bully Breed', 'Working Group']",0,1,0,0,0,0,0,0,1,0
85,White,A664458,0.0,Dog,Chevy,['Miniature Poodle'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
86,Black/Tan,A200922,1.0,Dog,Carlos,['Dachshund'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
87,Brown,A664460,1.0,Dog,None,['Dachshund'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
88,Tan,A664461,1.0,Dog,None,['Dachshund Wirehair'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
89,Brown/White,A664462,1.0,Dog,Edgar,['Leonberger'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
90,Black,A664463,0.0,Dog,Raven,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
91,Tan,A664464,1.0,Dog,None,['Dachshund Longhair'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
92,Gold,A664467,1.0,Dog,Bandit,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
93,Tan/White,A664468,1.0,Dog,Jesse,['Chesa Bay Retr'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
94,White/Black,A664472,0.0,Dog,Broadway,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
95,Tan,A664475,1.0,Dog,None,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
96,Black/Tan,A664481,1.0,Dog,Costello,"['Dachshund Wirehair', 'Border Terrier']",True,"['Hound Group', 'Terrier Group']",0,0,1,0,0,1,0,0,0,1
97,Tan,A664482,1.0,Dog,None,"['Dachshund Wirehair', 'Border Terrier']",True,"['Hound Group', 'Terrier Group']",0,0,1,0,0,1,0,0,0,1
98,Tan,A664483,1.0,Dog,None,"['Dachshund Wirehair', 'Border Terrier']",True,"['Hound Group', 'Terrier Group']",0,0,1,0,0,1,0,0,0,1
99,Black/Tan,A664484,0.0,Dog,None,"['Dachshund Wirehair', 'Border Terrier']",True,"['Hound Group', 'Terrier Group']",0,0,1,0,0,1,0,0,0,1
100,Black/White,A664489,0.0,Dog,Peaches,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
101,Black,A664490,1.0,Dog,Nikko,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
102,Black,A664491,1.0,Dog,None,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
103,Black,A664492,1.0,Dog,Hercules,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
104,Black,A664493,1.0,Dog,Teddy,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
105,Black/White,A664623,0.0,Dog,Dahlia,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
106,Blue/White,A632333,1.0,Dog,Charcoal,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
107,Brown Brindle,A664498,0.0,Dog,Gypsy,"['Mastiff', 'Dutch Shepherd']",True,"['FSS', 'Working Group']",1,1,0,0,0,0,0,0,0,0
108,Brown/White,A653571,1.0,Dog,T-Che,['Chihuahua Longhair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
109,White/Black,A664496,0.0,Dog,None,['Rat Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
110,Tricolor,A664497,0.0,Dog,None,"['Rat Terrier', 'Australian Cattle Dog']",True,"['Herding Group', 'Terrier Group']",0,0,1,1,0,0,0,0,0,0
111,Tricolor,A664499,0.0,Dog,None,['Australian Cattle Dog'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
112,White/Blue,A664504,0.0,Dog,Matilda,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
113,Brown/Tan,A664507,0.0,Dog,None,"['Dachshund', 'Chihuahua Shorthair']",True,"['Hound Group', 'Toy Group']",0,0,0,0,0,1,0,1,0,1
114,Tan/White,A664506,0.0,Dog,Pearl,['Greyhound'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
115,Black/White,A664509,0.0,Dog,Dancer,['Boxer'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
116,Black,A663123,1.0,Dog,Travis,"['Dachshund Wirehair', 'Standard Poodle']",True,"['Hound Group', 'Non-Sporting Group']",0,0,0,0,1,1,1,0,0,1
117,Black/White,A663004,0.0,Dog,Allie,"['Bulldog', 'Australian Cattle Dog']",True,"['Herding Group', 'Non-Sporting Group']",0,0,0,1,1,0,1,0,0,0
118,Black/Brown,A664511,1.0,Dog,Franklin,['Miniature Pinscher'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
119,Sable,A664519,1.0,Dog,None,['Carolina Dog'],False,[nan],0,0,0,0,0,0,0,0,0,0
120,Yellow,A664521,1.0,Dog,Graham,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
121,White/Yellow,A664522,0.0,Dog,Lucy,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
122,Brown,A651690,1.0,Dog,Rocky,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
123,Cream,A664524,1.0,Dog,None,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
124,White,A664528,0.0,Dog,Glinda,['Toy Poodle'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
125,White/Brown,A664605,0.0,Dog,Diesel,['Pointer'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
126,Black/White,A664537,0.0,Dog,Avery,['Boston Terrier'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
127,Blue Merle/Tan,A664538,0.0,Dog,Madeline,['Queensland Heeler'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
128,Brown/Black,A664539,1.0,Dog,Jj,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
129,Tricolor,A664540,0.0,Dog,Baby Girl,['Rat Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
130,White/Brown,A664558,1.0,Dog,Happy,['Border Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
131,Tan/White,A633952,1.0,Dog,Maximus,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
132,White/Black,A654782,0.0,Dog,Gilda,"['Pointer', 'Labrador Retriever']",True,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
133,Black/Red,A664559,1.0,Dog,Duke,"['Australian Shepherd', 'Rhod Ridgeback']",True,"['FSS', 'Herding Group']",1,0,0,1,0,0,0,0,0,0
134,White/Brown,A663864,0.0,Dog,Bella,['American Bulldog'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
135,Black,A664371,1.0,Dog,Yogi,"['Labrador Retriever', 'German Shepherd']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
136,Black,A664369,1.0,Dog,Max,"['Labrador Retriever', 'German Shepherd']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
137,Black/White,A657774,1.0,Dog,Ottis,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
138,Tan,A664563,0.0,Dog,Lola,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
139,Black/White,A664564,0.0,Dog,Remi,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
140,White/Black,A549167,0.0,Dog,Manda,"['Great Pyrenees', 'Border Collie']",True,"['Herding Group', 'Working Group']",0,1,0,1,0,0,0,0,0,0
141,White/Brown,A664572,0.0,Dog,Twilight,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
142,White/Tricolor,A664587,1.0,Dog,None,['Anatol Shepherd'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
143,Yellow,A664589,1.0,Dog,Jax,['Anatol Shepherd'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
144,White,A664590,0.0,Dog,Sesame,['Anatol Shepherd'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
145,Black Brindle/White,A664578,1.0,Dog,Rufus,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
146,Black/White,A664557,0.0,Dog,Kyrie,['Chinese Sharpei'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
147,White/Brown Brindle,A664550,1.0,Dog,Bubbles,['Chinese Sharpei'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
148,Black/White,A664551,0.0,Dog,Roxy,['Chinese Sharpei'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
149,White/Black,A664552,0.0,Dog,Penny,['Chinese Sharpei'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
150,Black/White,A664553,1.0,Dog,Spunky,['Chinese Sharpei'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
151,Brown Brindle/White,A664554,1.0,Dog,Button,['Chinese Sharpei'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
152,Black/White,A664555,1.0,Dog,Rex,"['Chinese Sharpei', 'Border Collie']",True,"['Herding Group', 'Non-Sporting Group']",0,0,0,1,1,0,1,0,0,0
153,White/Black,A664556,0.0,Dog,Angel,['Chinese Sharpei'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
154,Brown/White,A664593,0.0,Dog,Chiquilla,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
155,Brown Brindle,A664595,1.0,Dog,None,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
156,White,A664596,0.0,Dog,Blanca,['Great Pyrenees'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
157,Blue/White,A664597,0.0,Dog,Phoebe,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
158,White,A664599,0.0,Dog,Muffin,['Miniature Poodle'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
159,Black,A664600,0.0,Dog,Nikii,['Miniature Poodle'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
160,Blue/Tan,A664602,1.0,Dog,Blue,['Doberman Pinsch'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
161,Brown Brindle/White,A632969,1.0,Dog,Kane,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
162,Black/White,A349334,1.0,Dog,Grunt,"['Labrador Retriever', 'Siberian Husky']",True,"['Sporting Group', 'Working Group']",0,1,0,0,1,0,0,0,0,0
163,White,A664606,1.0,Dog,Scooter,['Miniature Schnauzer'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
164,White,A664608,1.0,Dog,Rosco,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
165,White/Brown,A663572,0.0,Dog,Starla,['Anatol Shepherd'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
166,Tricolor,A663649,1.0,Dog,August,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
167,Black/Tan,A664611,0.0,Dog,Black,['Beagle'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
168,Yellow,A256412,1.0,Dog,Beau,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
169,Black/White,A664613,0.0,Dog,Pammy,"['Border Collie', 'American Staffordshire Terrier']",True,"['Herding Group', 'Terrier Group']",0,0,1,1,0,0,0,0,0,0
170,Blue/White,A529890,1.0,Dog,Vegas,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
171,Black,A664616,0.0,Dog,Netty,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
172,Black/Tan,A664618,0.0,Dog,Sierra,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
173,Tan,A664619,1.0,Dog,Lucas,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
174,Tricolor,A664621,0.0,Dog,Magic,"['Australian Cattle Dog', 'Border Collie']",True,['Herding Group'],0,0,0,1,0,0,0,0,0,0
175,Brown Brindle/White,A664624,1.0,Dog,Smurfy,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
176,Brown/White,A664625,1.0,Dog,Juanito,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
177,White/Orange,A664627,1.0,Dog,Casey Jones,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
178,White,A664631,0.0,Dog,Moon Shadow,['Siberian Husky'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
179,White,A652729,1.0,Dog,Yoda,"['Kuvasz', 'Labrador Retriever']",True,"['Sporting Group', 'Working Group']",0,1,0,0,1,0,0,0,0,0
180,White/Buff,A664634,0.0,Dog,Sandy,"['Shih Tzu', 'Havanese']",True,['Toy Group'],0,0,0,0,0,0,0,1,0,0
181,Sable,A664635,0.0,Dog,Annie,['Shih Tzu'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
182,Tan/White,A664637,0.0,Dog,Willow,['Pekingese'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
183,Red/White,A664646,0.0,Dog,Ruby,['Australian Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
184,Tricolor,A664653,1.0,Dog,Andy,"['Catahoula', 'Mastiff']",True,"['FSS', 'Working Group']",1,1,0,0,0,0,0,0,0,0
185,White,A664622,1.0,Dog,Perrito,['Maltese'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
186,Tan/Cream,A664656,0.0,Dog,None,"['Australian Kelpie', 'Labrador Retriever']",True,"['Sporting Group', 'Working Group']",0,1,0,0,1,0,0,0,0,0
187,Tricolor,A563450,1.0,Dog,Oscar,['Basset Hound'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
188,Black/Tan,A595590,0.0,Dog,Jo,"['Black', 'Tan Hound']",True,['Working Group'],0,1,0,0,0,0,0,0,0,0
189,Brown,A664659,0.0,Dog,Kira,['Chihuahua Longhair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
190,White/Black,A664662,0.0,Dog,Scout,['Treeing Walker Coonhound'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
191,White/Brown,A664663,0.0,Dog,Ruby,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
192,Red Merle,A664666,0.0,Dog,Red,['Australian Cattle Dog'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
193,Tricolor,A664667,0.0,Dog,None,['Australian Cattle Dog'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
194,White/Brown,A664668,0.0,Dog,Bella,['Australian Cattle Dog'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
195,White,A657415,0.0,Dog,Perla,['Bull Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
196,Black/Tan,A664669,1.0,Dog,Scottie,['Rottweiler'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
197,White/Tricolor,A664672,1.0,Dog,Roscoe,"['Beagle', 'American Staffordshire Terrier']",True,"['Hound Group', 'Terrier Group']",0,0,1,0,0,1,0,0,0,1
