,condition_in,intake_type,outcome_detail,outcome_type,breed
38,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
39,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
40,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
41,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
42,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
43,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
44,Aged,Wildlife,Rabies Risk,Euthanasia,Bat Mix
45,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
46,Sick,Wildlife,Suffering,Euthanasia,Skunk Mix
47,Normal,Stray,Partner,Transfer,Rabbit Sh
48,Normal,Wildlife,None,Disposal,Bat Mix
49,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
50,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
51,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
52,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
53,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
54,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
55,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
56,Normal,Wildlife,Partner,Transfer,Fox Mix
57,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
58,Normal,Wildlife,None,Euthanasia,Bat Mix
59,Normal,Wildlife,None,Euthanasia,Bat Mix
60,Normal,Wildlife,None,Disposal,Bat Mix
61,Normal,Wildlife,None,Disposal,Bat Mix
62,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
63,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
64,Sick,Public Assist,Rabies Risk,Euthanasia,Raccoon Mix
65,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
66,Injured,Wildlife,Suffering,Euthanasia,Opossum
67,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
68,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
69,Normal,Stray,Partner,Transfer,Pig Mix
70,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
71,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
72,Sick,Wildlife,Suffering,Euthanasia,Fox Mix
73,Injured,Wildlife,None,Relocate,Owl
74,Sick,Wildlife,Suffering,Euthanasia,Armadillo Mix
75,Normal,Owner Surrender,Partner,Transfer,Californian Mix
76,Normal,Owner Surrender,Partner,Transfer,Californian Mix
77,Normal,Wildlife,None,Disposal,Bat Mix
78,Injured,Wildlife,None,Euthanasia,Squirrel Mix
79,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
80,Sick,Public Assist,Rabies Risk,Euthanasia,Raccoon Mix
81,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
82,Sick,Wildlife,None,Relocate,Raccoon
83,Normal,Stray,Partner,Transfer,Pig Mix
84,Injured,Stray,None,Adoption,Pigeon Mix
85,Sick,Wildlife,None,Euthanasia,Skunk Mix
86,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
87,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
88,Normal,Wildlife,None,Euthanasia,Bat
89,Normal,Wildlife,None,Disposal,Raccoon
90,Injured,Wildlife,Suffering,Euthanasia,Raccoon Mix
91,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
92,Sick,Wildlife,None,Euthanasia,Raccoon
93,Sick,Wildlife,None,Euthanasia,Raccoon Mix
94,Normal,Stray,None,Euthanasia,Bat
95,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
96,Injured,Wildlife,Rabies Risk,Euthanasia,Squirrel Mix
97,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
98,Normal,Stray,Partner,Transfer,Parakeet Mix
99,Normal,Stray,Partner,Transfer,Parakeet Mix
100,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
101,Normal,Wildlife,None,Disposal,Bat Mix
102,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
103,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
104,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
105,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
106,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
107,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
108,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
109,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
110,Normal,Owner Surrender,Partner,Transfer,Californian Mix
111,Normal,Owner Surrender,Partner,Transfer,Californian Mix
112,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
113,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
114,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
115,Normal,Stray,None,Return to Owner,Pig Mix
116,Injured,Wildlife,Suffering,Euthanasia,Squirrel
117,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
118,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
119,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
120,Normal,Wildlife,Partner,Transfer,Rabbit Sh
121,Sick,Stray,Partner,Transfer,Rabbit Sh/Lop-Mini
122,Sick,Stray,Rabies Risk,Euthanasia,Fox Mix
123,Injured,Stray,Partner,Transfer,Rabbit Sh Mix
124,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
125,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
126,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
127,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
128,Sick,Wildlife,Rabies Risk,Euthanasia,Fox Mix
129,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
130,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
131,Normal,Wildlife,Medical,Euthanasia,Raccoon
132,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
133,Injured,Wildlife,Suffering,Euthanasia,Raccoon
134,Injured,Wildlife,None,Relocate,Opossum
135,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
136,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
137,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
138,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
139,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
140,Injured,Wildlife,Suffering,Euthanasia,Raccoon Mix
141,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
142,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
143,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
144,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
145,Normal,Wildlife,Enroute,Died,Bat Mix
146,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
147,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
148,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
149,Normal,Wildlife,None,Disposal,Bat Mix
150,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
151,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
152,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
153,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
154,Normal,Wildlife,Suffering,Euthanasia,Raccoon Mix
155,Injured,Stray,Suffering,Euthanasia,Rhode Island Mix
156,Injured,Stray,Suffering,Euthanasia,Rhode Island Mix
157,Sick,Public Assist,None,Disposal,Raccoon
158,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
159,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
160,Normal,Stray,None,Return to Owner,Pig Mix
161,Sick,Wildlife,Rabies Risk,Euthanasia,Fox
162,Normal,Wildlife,In Kennel,Died,Bat Mix
163,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
164,Sick,Wildlife,Medical,Euthanasia,Opossum Mix
165,Sick,Wildlife,Medical,Euthanasia,Raccoon
166,Sick,Wildlife,Medical,Euthanasia,Raccoon
167,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
168,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
169,Injured,Wildlife,Partner,Transfer,Turtle Mix
170,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
171,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
172,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
173,Normal,Wildlife,Suffering,Euthanasia,Raccoon Mix
174,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
175,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
176,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
177,Normal,Stray,Partner,Transfer,Rex Mix
178,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
179,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
180,Normal,Wildlife,None,Disposal,Bat
181,Normal,Wildlife,None,Disposal,Bat
182,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
183,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
184,Injured,Wildlife,Suffering,Euthanasia,Opossum
185,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
186,Normal,Stray,None,Adoption,Ferret
187,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
188,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
189,Sick,Wildlife,Suffering,Euthanasia,Squirrel
190,Injured,Wildlife,Partner,Transfer,Rabbit Sh
191,Normal,Stray,Partner,Transfer,Rabbit Sh
192,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
193,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
194,Sick,Wildlife,Suffering,Euthanasia,Fox Mix
195,Sick,Wildlife,Suffering,Euthanasia,Skunk Mix
196,Sick,Public Assist,Rabies Risk,Euthanasia,Bat
197,Sick,Wildlife,Suffering,Euthanasia,Fox Mix
198,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
199,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
200,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
201,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
202,Normal,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
203,Normal,Wildlife,None,Euthanasia,Bat Mix
204,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
205,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
206,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
207,Sick,Wildlife,None,Euthanasia,Raccoon Mix
208,Injured,Wildlife,Rabies Risk,Euthanasia,Squirrel Mix
209,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
210,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
211,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
212,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
213,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
214,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
215,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
216,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
217,Sick,Wildlife,None,Disposal,Raccoon
218,Sick,Wildlife,Medical,Euthanasia,Raccoon
219,Normal,Wildlife,None,Euthanasia,Bat Mix
220,Normal,Wildlife,None,Euthanasia,Bat Mix
221,Normal,Wildlife,None,Euthanasia,Bat Mix
222,Normal,Wildlife,None,Euthanasia,Bat Mix
223,Normal,Wildlife,None,Euthanasia,Bat Mix
224,Normal,Wildlife,None,Euthanasia,Bat Mix
225,Normal,Wildlife,None,Euthanasia,Bat Mix
226,Normal,Wildlife,None,Euthanasia,Bat Mix
227,Normal,Wildlife,None,Euthanasia,Bat Mix
228,Normal,Wildlife,None,Euthanasia,Bat Mix
229,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
230,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
231,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
232,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
233,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
234,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
235,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
236,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
237,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
238,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
239,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
240,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
241,Injured,Wildlife,Suffering,Euthanasia,Squirrel Mix
242,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
243,Injured,Wildlife,None,Relocate,Raccoon Mix
244,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
245,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
246,Sick,Wildlife,Rabies Risk,Euthanasia,Fox Mix
247,Sick,Wildlife,Suffering,Euthanasia,Raccoon
248,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
249,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
250,Sick,Wildlife,Suffering,Euthanasia,Opossum Mix
251,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
252,Normal,Wildlife,Enroute,Died,Raccoon Mix
253,Sick,Wildlife,Suffering,Euthanasia,Raccoon
254,Sick,Wildlife,Suffering,Euthanasia,Fox Mix
255,Injured,Stray,Partner,Transfer,Rabbit Sh Mix
256,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
257,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
258,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
259,Normal,Owner Surrender,Partner,Transfer,Rat
260,Normal,Owner Surrender,Partner,Transfer,Rat
261,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
262,Sick,Wildlife,Rabies Risk,Euthanasia,Fox Mix
263,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
264,Injured,Wildlife,Suffering,Euthanasia,Opossum
265,Normal,Wildlife,Medical,Euthanasia,Raccoon Mix
266,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
267,Injured,Wildlife,Medical,Euthanasia,Opossum
268,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
269,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
270,Normal,Stray,Partner,Transfer,Rat Mix
271,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
272,Normal,Wildlife,None,Euthanasia,Bat Mix
273,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
274,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
275,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
276,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
277,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
278,Sick,Wildlife,Suffering,Euthanasia,Raccoon
279,Sick,Wildlife,Enroute,Died,Raccoon
280,Sick,Wildlife,Suffering,Euthanasia,Opossum Mix
281,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
282,Injured,Wildlife,Suffering,Euthanasia,Fox Mix
283,Sick,Wildlife,None,Euthanasia,Skunk Mix
284,Sick,Wildlife,Suffering,Euthanasia,Raccoon
285,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
286,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
287,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
288,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
289,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
290,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
291,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
292,Injured,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
293,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
294,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
295,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
296,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
297,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
298,Normal,Owner Surrender,Partner,Transfer,Californian
299,Normal,Wildlife,None,Disposal,Bat Mix
300,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
301,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
302,Sick,Stray,None,Euthanasia,Raccoon Mix
303,Sick,Wildlife,None,Disposal,Raccoon Mix
304,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
305,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
306,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
307,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
308,Sick,Wildlife,Suffering,Euthanasia,Skunk Mix
309,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
310,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon
311,Sick,Wildlife,None,Disposal,Fox
312,Injured,Wildlife,Suffering,Euthanasia,Coyote Mix
313,Sick,Wildlife,None,Disposal,Raccoon
314,Sick,Wildlife,None,Disposal,Skunk Mix
315,Normal,Stray,None,Adoption,Ferret
316,Normal,Stray,Partner,Transfer,Guinea Pig
317,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
318,Sick,Wildlife,Suffering,Euthanasia,Skunk Mix
319,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
320,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
321,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
322,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
323,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
324,Sick,Wildlife,Suffering,Euthanasia,Raccoon
325,Sick,Stray,Rabies Risk,Euthanasia,Raccoon Mix
326,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
327,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
328,Injured,Wildlife,Suffering,Euthanasia,Raccoon Mix
329,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
330,Injured,Stray,Suffering,Euthanasia,Chicken Mix
331,Normal,Stray,Partner,Transfer,Californian Mix
332,Injured,Euthanasia Request,Suffering,Euthanasia,Chicken Mix
333,Sick,Public Assist,Rabies Risk,Euthanasia,Raccoon
334,Sick,Wildlife,None,Euthanasia,Raccoon Mix
335,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
336,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
337,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
338,Sick,Public Assist,Rabies Risk,Euthanasia,Raccoon
339,Normal,Stray,None,Return to Owner,Donkey Mix
340,Sick,Wildlife,None,Euthanasia,Raccoon
341,Sick,Wildlife,None,Euthanasia,Raccoon Mix
342,Sick,Wildlife,None,Euthanasia,Raccoon Mix
343,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
344,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
345,Sick,Wildlife,Suffering,Euthanasia,Raccoon
346,Injured,Wildlife,None,Disposal,Squirrel
347,Aged,Owner Surrender,Partner,Transfer,Horse Mix
348,Injured,Wildlife,None,Disposal,Raccoon Mix
349,Sick,Public Assist,Rabies Risk,Euthanasia,Raccoon Mix
350,Sick,Wildlife,Suffering,Euthanasia,Fox Mix
351,Sick,Wildlife,None,Euthanasia,Raccoon
352,Sick,Wildlife,None,Euthanasia,Raccoon
353,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
354,Injured,Wildlife,Suffering,Euthanasia,Raccoon
355,Injured,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
356,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
357,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
358,Sick,Wildlife,None,Disposal,Raccoon
359,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
360,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
361,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
362,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
363,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
364,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
365,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
366,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
367,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
368,Normal,Stray,None,Adoption,Chicken
369,Normal,Stray,None,Adoption,Chicken
370,Normal,Stray,None,Adoption,Chicken
371,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
372,Nursing,Wildlife,Rabies Risk,Euthanasia,Bat
373,Normal,Stray,Partner,Transfer,Californian Mix
374,Normal,Owner Surrender,Partner,Transfer,Rat
375,Normal,Owner Surrender,Partner,Transfer,Rat
376,Sick,Owner Surrender,Suffering,Euthanasia,Rat
377,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
378,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
379,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
380,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
381,Injured,Wildlife,None,Disposal,Opossum Mix
382,Normal,Stray,None,Adoption,Ferret
383,Normal,Owner Surrender,Partner,Transfer,Hamster Mix
384,Normal,Owner Surrender,Partner,Transfer,Hamster Mix
385,Normal,Owner Surrender,Partner,Transfer,Hamster Mix
386,Sick,Wildlife,None,Disposal,Bat Mix
387,Sick,Wildlife,Suffering,Euthanasia,Fox Mix
388,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
389,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
390,Sick,Wildlife,Suffering,Euthanasia,Raccoon
391,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
392,Normal,Wildlife,Suffering,Euthanasia,Raccoon
393,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
394,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
395,Injured,Wildlife,Medical,Euthanasia,Squirrel Mix
396,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
397,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
398,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
399,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
400,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
401,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
402,Injured,Wildlife,Medical,Euthanasia,Opossum Mix
403,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
404,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
405,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
406,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
407,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
408,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
409,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
410,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
411,Sick,Wildlife,None,Euthanasia,Raccoon Mix
412,Sick,Wildlife,Suffering,Euthanasia,Raccoon
413,Injured,Wildlife,Suffering,Euthanasia,Raccoon
414,Normal,Stray,Foster,Adoption,Pig Mix
415,Sick,Wildlife,Suffering,Euthanasia,Raccoon
416,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
417,Sick,Wildlife,Suffering,Euthanasia,Raccoon
418,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
419,Nursing,Public Assist,Partner,Transfer,Rabbit Sh Mix
420,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
421,Nursing,Public Assist,Partner,Transfer,Rabbit Sh Mix
422,Nursing,Public Assist,Partner,Transfer,Rabbit Sh Mix
423,Nursing,Public Assist,Partner,Transfer,Rabbit Sh Mix
424,Nursing,Public Assist,Partner,Transfer,Rabbit Sh Mix
425,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
426,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
427,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
428,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
429,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
430,Sick,Euthanasia Request,Suffering,Euthanasia,Rat
431,Injured,Wildlife,Suffering,Euthanasia,Opossum
432,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
433,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
434,Normal,Wildlife,None,Euthanasia,Bat Mix
435,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
436,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
437,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
438,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
